k,basis,n,mean_IR,median_IR,mean_residual_norm,mean_final_dist,mean_n_shrink,mean_n_backtrack,mean_n_gens
30,dct,20,0.1558,0.157,4.8253,4.7176,26.1509,1.4325,23.0
30,random,20,0.0029,0.0041,5.6317,5.6485,102.4121,1.2813,21.05
60,dct,20,0.1644,0.1725,4.6601,4.6325,99.5262,1.2518,20.45
60,random,20,0.0065,0.008,5.6046,5.6203,68.0861,1.2013,23.2
120,dct,20,0.1819,0.2078,4.5142,4.6203,202.8355,1.0363,16.5
120,random,20,0.0148,0.0164,5.5527,5.5822,73.3534,1.3384,20.75
240,dct,20,0.2097,0.2042,4.3391,4.3808,101.2812,0.9537,17.15
240,random,20,0.0327,0.0381,5.4338,5.4567,53.7512,1.2597,21.45
480,dct,20,0.2265,0.2266,4.0914,4.2635,123.8284,0.8875,17.25
480,random,20,0.0651,0.0768,5.2012,5.2281,138.6948,1.4631,14.9
